title,condition,price,sold_date,num_bids,buy_it_now,best_offer
Oakley SI M FRAME 2.0 Glasses | 9213-03 Matte Black/ANSI Z87.1 Grey Lens w/ Case,Pre-Owned,$64.95,"Sold  Nov 28, 2023Sold Item",,Yes,No
OAKLEY M-FRAME METALLIC RED FRAME W/BLACK IRIDIUM HYBRID LENSES SUNGLASSES,Pre-Owned,$174.99,"Sold  Nov 28, 2023Sold Item",,No,Yes
Galaxy Nose Pads For Oakley M Frame Sweep/Strike/Hybrid/Heater Razor Blade Black,New (Other),$5.75,"Sold  Nov 28, 2023Sold Item",,Yes,No
🌟 Vtg Auth Oakley M Frame Brown Ear Socks & Black Nosepiece Sunglasses Rubber,Pre-Owned,$11.95,"Sold  Nov 28, 2023Sold Item",,Yes,No
USGI Oakley M Frame SI 2.0 Ballistic Glasses Eye Pro Clamshell Storage Case,Pre-Owned,$14.99,"Sold  Nov 27, 2023Sold Item",,No,Yes
Galaxy Earsock Rubber Kits For Oakley Si Ballistic M Frame 3.0 Z87 Black,New (Other),$5.95,"Sold  Nov 28, 2023Sold Item",,Yes,No
Oakley SI M Frame Shooting Glasses Sunglasses & Clear Lens Case & Papers,Pre-Owned,$76.50,"Sold  Nov 28, 2023Sold Item",,Yes,No
Oakley M2 Frame XL POLARIZED Sunglasses OO9343 Matte Black Prizm Black Polarized,Brand New,$115.00,"Sold  Nov 28, 2023Sold Item",,No,Yes
OAKLEY M Frame Sweep Strap 1.0 2.0 3.0 Strike M2 Hybrid..,Brand New,$71.00,"Sold  Nov 27, 2023Sold Item",2 bids,No,No
Oakley SI Ballistic M Frame 3.0 Array Sunglasses w/Multi-Lens Kit Tan oo9146-08,Brand New,$223.00,"Sold  Nov 27, 2023Sold Item",,Yes,No
New Oakley SI Ballistic M Frame 2.0 Strike Safety Shooting Glasses Kit - 11-138,Brand New,$119.95,"Sold  Nov 27, 2023Sold Item",,Yes,No
NEW 100% Authentic Oakley M Frame Pro Microfiber Bag,New (Other),$50.00,"Sold  Nov 27, 2023Sold Item",,Yes,No
Oakley Black M Frame Sport Glasses,New (Other),$75.00,"Sold  Nov 27, 2023Sold Item",,Yes,No
Oakley M Frame USA Black Sunglasses MG,Pre-Owned,$50.00,"Sold  Nov 27, 2023Sold Item",,Yes,No
Oakley M Frame Sport Sunglasses Blue Frame Men’s Black Lenses Dodger Blue,Pre-Owned,$102.50,"Sold  Nov 27, 2023Sold Item",33 bids,No,No
Oakley M Frame Z87 Sunglasses Clear & Black Shield Lenses w/ Case,Pre-Owned,$49.99,"Sold  Nov 27, 2023Sold Item",,Yes,No
Original Oakley M Frame Rootbeer Sunglasses,Pre-Owned,$61.00,"Sold  Nov 27, 2023Sold Item",7 bids,No,No
Vintage Oakley M Frame Black Frame Smoke / Gray Lens Made in USA,Pre-Owned,$71.00,"Sold  Nov 27, 2023Sold Item",7 bids,No,No
Oakley M2 FRAME XL polished black/grey OO9343-01 sunglasses NEW IN BOX!,Brand New,$74.99,"Sold  Nov 27, 2023Sold Item",1 bid,No,Yes
NEW OAKLEY SI Ballistic Sun Glasses M Frame 2.0 Array Strike Clear & Gray APEL,New (Other),$74.00,"Sold  Nov 27, 2023Sold Item",,Yes,No
M2 Frame:  Orange Flare Lens:  Prizm Ruby Polarized Icon:  Gold Shiney,New (Other),$56.00,"Sold  Nov 27, 2023Sold Item",8 bids,No,No
Oakley M Frame Matte Black Grey Sweep Mumbo Gen 1 09-510+Hard Case Vintage,Pre-Owned,$279.99,"Sold  Nov 27, 2023Sold Item",,Yes,No
🌟Vintage Auth Oakley M Frame Gray Ear Socks & Black Nosepiece Sunglasses Rubber,Pre-Owned,$12.50,"Sold  Nov 26, 2023Sold Item",3 bids,No,No
Oakley M2 OO9343 1945 Matte Black Prizm Polarized M Frames,Pre-Owned,$57.00,"Sold  Nov 26, 2023Sold Item",,No,Yes
Oakley SI M Frame 2.0 OO9047-0133 Men's Matte Black Eyeglasses Frame Only,Pre-Owned,$49.99,"Sold  Nov 26, 2023Sold Item",,No,Yes
